"Name","Count","Front Template","Back Template","Suit","Value","Pips"
"Aggression-1",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","1","✦✦✦"
"Aggression-2",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","2","✦✦✦"
"Aggression-3",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","3","✦✦"
"Aggression-4",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","4","✦✦"
"Aggression-5",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","5","✦✦"
"Aggression-6",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","6","✦✦"
"Aggression-7",,"SUPERCAT Action Card","SUPERCAT Action Card","Aggression","7","✦"
"Mobilization-1",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","1","✦✦✦✦"
"Mobilization-2",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","2","✦✦✦✦"
"Mobilization-3",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","3","✦✦✦"
"Mobilization-4",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","4","✦✦✦"
"Mobilization-5",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","5","✦✦"
"Mobilization-6",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","6","✦✦"
"Mobilization-7",,"SUPERCAT Action Card","SUPERCAT Action Card","Mobilization","7","✦"
"Administration-1",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","1","✦✦✦✦"
"Administration-2",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","2","✦✦✦✦"
"Administration-3",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","3","✦✦✦"
"Administration-4",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","4","✦✦✦"
"Administration-5",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","5","✦✦✦"
"Administration-6",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","6","✦✦"
"Administration-7",,"SUPERCAT Action Card","SUPERCAT Action Card","Administration","7","✦"
"Construction-1",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","1","✦✦✦✦"
"Construction-2",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","2","✦✦✦✦"
"Construction-3",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","3","✦✦✦"
"Construction-4",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","4","✦✦✦"
"Construction-5",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","5","✦✦"
"Construction-6",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","6","✦✦"
"Construction-7",,"SUPERCAT Action Card","SUPERCAT Action Card","Construction","7","✦"
